FPrate,Sensivity[Mean],Sensivity[Lower bound],Sensivity[Upper bound]
0.251800180,0.780163586,0.738761663,0.816736400
0.252587759,0.780680656,0.739454091,0.817769706
0.253375338,0.780680656,0.739454091,0.817769706
0.254162916,0.781227052,0.739510477,0.817939579
0.254950495,0.781755567,0.739950776,0.818418741
0.255738074,0.782354474,0.740536273,0.818676353
0.256525653,0.782354474,0.740536273,0.818676353
0.257313231,0.782875717,0.741214037,0.820489585
0.258100810,0.783441842,0.741214037,0.820489585
0.258888389,0.783441842,0.741214037,0.820489585
0.259675968,0.783928692,0.741324902,0.821097076
0.260463546,0.784416854,0.742070138,0.821953356
0.261251125,0.784416854,0.742070138,0.821953356
0.262038704,0.784936428,0.743187428,0.821953356
0.262826283,0.785491943,0.743690848,0.821985245
0.263613861,0.785974741,0.744052529,0.822784781
0.264401440,0.785974741,0.744052529,0.822784781
0.265189019,0.786441684,0.744435310,0.823628664
0.265976598,0.786949277,0.744872868,0.824204922
0.266764176,0.786949277,0.744872868,0.824204922
0.267551755,0.787413478,0.744987965,0.824204922
0.268339334,0.787873507,0.745351672,0.824420691
0.269126913,0.787873507,0.745351672,0.824420691
0.269914491,0.788349748,0.746580839,0.824546218
0.270702070,0.788913071,0.747107446,0.824680865
0.271489649,0.789463520,0.747107446,0.825104594
0.272277228,0.789463520,0.747107446,0.825104594
0.273064806,0.789912343,0.747500002,0.825104594
0.273852385,0.790408790,0.748585284,0.826357961
0.274639964,0.790408790,0.748585284,0.826357961
0.275427543,0.790892601,0.748585284,0.826825142
0.276215122,0.791390598,0.749799490,0.827004194
0.277002700,0.791390598,0.749799490,0.827004194
0.277790279,0.791868567,0.750206769,0.827708721
0.278577858,0.792311430,0.750631869,0.827975690
0.279365437,0.792711318,0.750886500,0.827975690
0.280153015,0.792711318,0.750886500,0.827975690
0.280940594,0.793129504,0.752688169,0.828003466
0.281728173,0.793638110,0.752892554,0.828003466
0.282515752,0.793638110,0.752892554,0.828003466
0.283303330,0.794080436,0.753943205,0.828828812
0.284090909,0.794511616,0.753943205,0.829308927
0.284878488,0.794511616,0.753943205,0.829308927
0.285666067,0.794920504,0.753943205,0.829308927
0.286453645,0.795347154,0.754596353,0.829484880
0.287241224,0.795851946,0.754596353,0.829694331
0.288028803,0.795851946,0.754596353,0.829694331
0.288816382,0.796217918,0.754731834,0.830042899
0.289603960,0.796645582,0.755052567,0.830901265
0.290391539,0.796645582,0.755052567,0.830901265
0.291179118,0.797139049,0.755052567,0.831261098
0.291966697,0.797498882,0.756688952,0.831355929
0.292754275,0.797498882,0.756688952,0.831355929
0.293541854,0.797903061,0.757024765,0.832314432
0.294329433,0.798324227,0.758675098,0.832614303
0.295117012,0.798655629,0.759392500,0.833187759
0.295904590,0.798655629,0.759392500,0.833187759
0.296692169,0.799048066,0.759463727,0.833187759
0.297479748,0.799439430,0.760068536,0.833190739
0.298267327,0.799439430,0.760068536,0.833190739
0.299054905,0.799853504,0.760068536,0.833472788
0.299842484,0.800248027,0.760330558,0.833623707
0.300630063,0.800248027,0.760330558,0.833623707
0.301417642,0.800659716,0.761983454,0.834917903
0.302205221,0.801092029,0.762103498,0.835193157
0.302992799,0.801496089,0.762809932,0.835616410
0.303780378,0.801496089,0.762809932,0.835616410
0.304567957,0.801871717,0.763636351,0.835616410
0.305355536,0.802228272,0.764188647,0.835807860
0.306143114,0.802228272,0.764188647,0.835807860
0.306930693,0.802641332,0.764188647,0.836928368
0.307718272,0.803008378,0.765070915,0.837792635
0.308505851,0.803008378,0.765070915,0.837792635
0.309293429,0.803378105,0.765225053,0.837815821
0.310081008,0.803725302,0.765796125,0.837815821
0.310868587,0.804130197,0.766851723,0.838401377
0.311656166,0.804130197,0.766851723,0.838401377
0.312443744,0.804506242,0.767111838,0.839142084
0.313231323,0.804860592,0.767199993,0.839142084
0.314018902,0.804860592,0.767199993,0.839142084
0.314806481,0.805185139,0.768115938,0.839581490
0.315594059,0.805540681,0.768303216,0.839738369
0.316381638,0.805540681,0.768303216,0.839738369
